activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,139306,[],CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1,,,CHEMBL1131917,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '23.37', 'le': '0.42', 'lle': '3.49', 'sei': '15.69'}",CHEMBL324326,,CHEMBL324326,7.30,0,http://www.openphacts.org/units/Nanomolar,214181,=,1,1,=,,IC50,nM,,50.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.05
,184046,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '17.13', 'le': '0.32', 'lle': '1.72', 'sei': '10.31'}",CHEMBL37321,,CHEMBL37321,5.18,0,http://www.openphacts.org/units/Nanomolar,62502,=,1,1,=,,IC50,nM,,6600.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,6.6
,184487,[],CHEMBL666792,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21,,,CHEMBL1129578,J. Med. Chem.,1996.0,"{'bei': '20.41', 'le': '0.37', 'lle': '1.44', 'sei': '14.97'}",CHEMBL353068,,CHEMBL353068,4.29,0,http://www.openphacts.org/units/Nanomolar,332123,=,1,1,=,,IC50,nM,,51000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,51.0
,185411,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '19.05', 'le': '0.36', 'lle': '2.37', 'sei': '9.30'}",CHEMBL41066,,CHEMBL41066,5.50,0,http://www.openphacts.org/units/Nanomolar,62519,=,1,1,=,,IC50,nM,,3200.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,3.2
,185984,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,O=C1/C(=C/c2cccnn2)CCc2ccccc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1129578,J. Med. Chem.,1996.0,,CHEMBL166709,,CHEMBL166709,,0,http://www.openphacts.org/units/Nanomolar,332122,>,1,1,>,,IC50,nM,,250000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,250.0
,185988,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,O=C1/C(=C/c2ccnnc2)CCc2ccccc21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1129578,J. Med. Chem.,1996.0,,CHEMBL424556,,CHEMBL424556,,0,http://www.openphacts.org/units/Nanomolar,332121,=,1,1,=,,IC50,nM,,103000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,103.0
,186032,[],CHEMBL666789,Inhibition of aromatase activity in human placental microsomes determined by radiometric assay,B,,,BAO_0000190,BAO_0000251,microsome format,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,,,CHEMBL1134295,J. Med. Chem.,2001.0,"{'bei': '16.97', 'le': '0.32', 'lle': '2.32', 'sei': '8.98'}",CHEMBL1630273,,CHEMBL1630273,5.17,1,http://www.openphacts.org/units/Nanomolar,260391,=,1,1,=,,IC50,nM,,6800.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,6.8
,186034,[],CHEMBL666789,Inhibition of aromatase activity in human placental microsomes determined by radiometric assay,B,,,BAO_0000190,BAO_0000251,microsome format,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43C)[C@@H]1CCC2=O,,,CHEMBL1134295,J. Med. Chem.,2001.0,"{'bei': '25.31', 'le': '0.47', 'lle': '3.42', 'sei': '19.57'}",CHEMBL1630261,,CHEMBL1630261,7.30,1,http://www.openphacts.org/units/Nanomolar,260403,=,1,1,=,,IC50,nM,,50.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.05
,187134,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21,,,CHEMBL1129578,J. Med. Chem.,1996.0,"{'bei': '30.19', 'le': '0.54', 'lle': '4.15', 'sei': '14.80'}",CHEMBL169251,,CHEMBL169251,6.77,0,http://www.openphacts.org/units/Nanomolar,332115,=,1,1,=,,IC50,nM,,170.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.17
,188443,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,O=C1/C(=C/c2cccnc2)CCc2ccccc21,,,CHEMBL1129578,J. Med. Chem.,1996.0,"{'bei': '21.40', 'le': '0.38', 'lle': '1.75', 'sei': '16.81'}",CHEMBL168636,,CHEMBL168636,5.04,0,http://www.openphacts.org/units/Nanomolar,332112,=,1,1,=,,IC50,nM,,9200.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,9.2
,188448,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,O=C1/C(=C/c2ccncc2)CCc2ccccc21,,,CHEMBL1129578,J. Med. Chem.,1996.0,"{'bei': '22.68', 'le': '0.40', 'lle': '2.05', 'sei': '17.81'}",CHEMBL90585,,CHEMBL90585,5.34,0,http://www.openphacts.org/units/Nanomolar,332133,=,1,1,=,,IC50,nM,,4600.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,4.6
,188467,[],CHEMBL666789,Inhibition of aromatase activity in human placental microsomes determined by radiometric assay,B,,,BAO_0000190,BAO_0000251,microsome format,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,,,CHEMBL1134295,J. Med. Chem.,2001.0,"{'bei': '25.34', 'le': '0.48', 'lle': '3.43', 'sei': '19.60'}",CHEMBL1629805,,CHEMBL1629805,7.31,1,http://www.openphacts.org/units/Nanomolar,260400,=,1,1,=,,IC50,nM,,49.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.049
,189643,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,c1ccc2c(c1)CCC1C(c3ccsc3)C21,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1129578,J. Med. Chem.,1996.0,,CHEMBL433728,,CHEMBL433728,,0,http://www.openphacts.org/units/Nanomolar,332128,>,1,1,>,,IC50,nM,,250000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,250.0
,190464,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '17.32', 'le': '0.32', 'lle': '2.22', 'sei': '8.97'}",CHEMBL38877,,CHEMBL38877,4.51,0,http://www.openphacts.org/units/Nanomolar,62505,=,1,1,=,,IC50,nM,,31000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,31.0
,190934,[],CHEMBL666792,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,O=C1c2ccccc2CCC1C(O)c1cnccn1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1129578,J. Med. Chem.,1996.0,,CHEMBL169449,,CHEMBL169449,,0,http://www.openphacts.org/units/Nanomolar,332127,>,1,1,>,,IC50,nM,,250000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,250.0
,192817,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '16.03', 'le': '0.30', 'lle': '1.72', 'sei': '8.75'}",CHEMBL39275,,CHEMBL39275,4.40,0,http://www.openphacts.org/units/Nanomolar,62504,=,1,1,=,,IC50,nM,,40000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,40.0
,192820,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '16.22', 'le': '0.30', 'lle': '1.61', 'sei': '9.31'}",CHEMBL39513,,CHEMBL39513,4.68,0,http://www.openphacts.org/units/Nanomolar,62503,=,1,1,=,,IC50,nM,,21000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,21.0
,193224,[],CHEMBL666789,Inhibition of aromatase activity in human placental microsomes determined by radiometric assay,B,,,BAO_0000190,BAO_0000251,microsome format,CC(=O)O[C@H]1CCC[C@@]2(CO)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,,,CHEMBL1134295,J. Med. Chem.,2001.0,"{'bei': '14.31', 'le': '0.27', 'lle': '1.54', 'sei': '7.80'}",CHEMBL2112738,,CHEMBL2112738,4.96,0,http://www.openphacts.org/units/Nanomolar,260392,=,1,1,=,,IC50,nM,,11000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,11.0
,194006,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCC1(c2ccncc2)CCC(=O)NC1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '22.91', 'le': '0.43', 'lle': '3.83', 'sei': '8.47'}",CHEMBL289116,ROGLETIMIDE,CHEMBL289116,5.00,0,http://www.openphacts.org/units/Nanomolar,62501,=,1,1,=,,IC50,nM,,10000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,10.0
,194009,[],CHEMBL666800,Inhibition of human placental cytochrome P450 19A1 with androstenedione,B,,,BAO_0000190,BAO_0000019,assay format,CCC1(c2ccncc2)CCC(=O)NC1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '19.92', 'le': '0.37', 'lle': '3.18', 'sei': '7.36'}",CHEMBL289116,ROGLETIMIDE,CHEMBL289116,4.35,0,http://www.openphacts.org/units/Nanomolar,62501,=,1,1,=,,IC50,nM,,45000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,45.0
,194012,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCC1(c2ccncc2)CCC(=O)N(C)C1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '19.47', 'le': '0.36', 'lle': '3.01', 'sei': '9.00'}",CHEMBL39782,,CHEMBL39782,4.52,0,http://www.openphacts.org/units/Nanomolar,62507,=,1,1,=,,IC50,nM,,30000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,30.0
,194397,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,c1ccc2c(c1)CCC1C(c3ccncc3)C21,,,CHEMBL1129578,J. Med. Chem.,1996.0,"{'bei': '29.06', 'le': '0.52', 'lle': '2.90', 'sei': '49.90'}",CHEMBL304903,,CHEMBL304903,6.43,0,http://www.openphacts.org/units/Nanomolar,332129,=,1,1,=,,IC50,nM,,370.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.37
,195129,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '21.94', 'le': '0.41', 'lle': '3.75', 'sei': '7.06'}",CHEMBL488,AMINOGLUTETHIMIDE,CHEMBL488,5.10,1,http://www.openphacts.org/units/Nanomolar,62513,=,1,1,=,,IC50,nM,,8000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,8.0
,195133,[],CHEMBL661156,Inhibition of human placental cytochrome P450 19A1 with androstenedione,B,,,BAO_0000190,BAO_0000019,assay format,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '20.90', 'le': '0.39', 'lle': '3.50', 'sei': '6.72'}",CHEMBL488,AMINOGLUTETHIMIDE,CHEMBL488,4.85,1,http://www.openphacts.org/units/Nanomolar,62513,=,1,1,=,,IC50,nM,,14000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,14.0
,196688,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21,,,CHEMBL1129578,J. Med. Chem.,1996.0,"{'bei': '29.36', 'le': '0.53', 'lle': '3.97', 'sei': '14.39'}",CHEMBL168434,,CHEMBL168434,6.58,0,http://www.openphacts.org/units/Nanomolar,332116,=,1,1,=,,IC50,nM,,260.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.26
,196724,[],CHEMBL666792,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21,,,CHEMBL1129578,J. Med. Chem.,1996.0,"{'bei': '29.59', 'le': '0.53', 'lle': '3.37', 'sei': '21.69'}",CHEMBL352645,,CHEMBL352645,6.22,0,http://www.openphacts.org/units/Nanomolar,332132,=,1,1,=,,IC50,nM,,600.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.6
,197806,[],CHEMBL666789,Inhibition of aromatase activity in human placental microsomes determined by radiometric assay,B,,,BAO_0000190,BAO_0000251,microsome format,CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,,,CHEMBL1134295,J. Med. Chem.,2001.0,"{'bei': '18.16', 'le': '0.34', 'lle': '1.55', 'sei': '13.83'}",CHEMBL2112739,,CHEMBL2112739,6.00,0,http://www.openphacts.org/units/Nanomolar,260406,=,1,1,=,,IC50,nM,,1000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,1.0
,200278,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,c1cncc(C2C3CCc4ccccc4C32)c1,,,CHEMBL1129578,J. Med. Chem.,1996.0,"{'bei': '22.08', 'le': '0.39', 'lle': '1.36', 'sei': '37.91'}",CHEMBL440930,,CHEMBL440930,4.89,0,http://www.openphacts.org/units/Nanomolar,332130,=,1,1,=,,IC50,nM,,13000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,13.0
,200308,[],CHEMBL666789,Inhibition of aromatase activity in human placental microsomes determined by radiometric assay,B,,,BAO_0000190,BAO_0000251,microsome format,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,,,CHEMBL1134295,J. Med. Chem.,2001.0,"{'bei': '24.66', 'le': '0.47', 'lle': '4.66', 'sei': '13.05'}",CHEMBL1630274,,CHEMBL1630274,7.51,1,http://www.openphacts.org/units/Nanomolar,260395,=,1,1,=,,IC50,nM,,31.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.031
,200310,[],CHEMBL666789,Inhibition of aromatase activity in human placental microsomes determined by radiometric assay,B,,,BAO_0000190,BAO_0000251,microsome format,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C)[C@@H]1CCC2=O,,,CHEMBL1134295,J. Med. Chem.,2001.0,"{'bei': '26.51', 'le': '0.49', 'lle': '2.31', 'sei': '42.31'}",CHEMBL1629804,,CHEMBL1629804,7.22,1,http://www.openphacts.org/units/Nanomolar,260401,=,1,1,=,,IC50,nM,,60.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.06
,201151,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '18.45', 'le': '0.35', 'lle': '1.86', 'sei': '12.13'}",CHEMBL39661,,CHEMBL39661,6.10,1,http://www.openphacts.org/units/Nanomolar,62516,=,1,1,=,,IC50,nM,,800.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.8
,201155,[],CHEMBL666800,Inhibition of human placental cytochrome P450 19A1 with androstenedione,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '16.04', 'le': '0.30', 'lle': '1.06', 'sei': '10.55'}",CHEMBL39661,,CHEMBL39661,5.30,0,http://www.openphacts.org/units/Nanomolar,62516,=,1,1,=,,IC50,nM,,5000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,5.0
,201156,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '16.03', 'le': '0.30', 'lle': '0.89', 'sei': '10.99'}",CHEMBL38550,,CHEMBL38550,5.52,0,http://www.openphacts.org/units/Nanomolar,62515,=,1,1,=,,IC50,nM,,3000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,3.0
,202331,[],CHEMBL666799,Inhibitory activity against human placental cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCC1(c2ccncc2)CCC(=O)NC1=O,,,CHEMBL1123885,J. Med. Chem.,1987.0,"{'bei': '19.84', 'le': '0.37', 'lle': '2.71', 'sei': '9.22'}",CHEMBL39152,,CHEMBL39152,5.44,0,http://www.openphacts.org/units/Nanomolar,62508,=,1,1,=,,IC50,nM,,3600.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,3.6
,202723,[],CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,,,BAO_0000190,BAO_0000019,assay format,c1ccc(C2C3CCc4ccccc4C32)nc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1129578,J. Med. Chem.,1996.0,,CHEMBL166789,,CHEMBL166789,,0,http://www.openphacts.org/units/Nanomolar,332131,>,1,1,>,,IC50,nM,,250000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,250.0
